Row Labels,Average of price(Â£),Count of model
AC,49995.00,1
Cobra,49995.00,1
Alfa-Romeo,21170.66,35
33,4999.00,1
155,14995.00,1
159,1990.00,1
4C,36350.00,2
Brera,3870.00,2
Giulia,25164.00,6
Giulietta,10333.88,8
GT,2000.00,1
Mito,6015.00,3
Spider,6495.00,1
Stelvio,42039.33,9
Aston-Martin,87306.23,43
DB11,118197.50,8
DB7,28995.00,1
DB9,54202.50,6
DBS,96948.00,5
Rapide,83000.00,1
Vanquish,123187.50,8
Vantage,64367.00,14
Audi,18718.65,839
A1,13267.07,28
A3,13718.60,105
A4,15248.10,157
A5,18145.32,122
A6,16818.81,67
A7,35998.00,1
A8,23741.29,14
Cabriolet,2495.00,1
Coupe,5245.00,2
Q2,21048.22,49
Q3,20430.08,64
Q5,27365.23,40
Q7,41304.56,18
Q8,49942.00,2
R8,64627.80,10
Rs,25849.00,2
RS3,39995.00,1
RS4,22472.50,2
RS5,34276.78,9
RS6,53450.00,1
S3,29200.40,5
S4,13395.00,4
S5,11505.80,5
S6,32497.50,2
S8,34000.00,1
SQ2,28444.00,2
TT,15539.23,125
Austin,17236.25,4
A40,8250.00,1
Healey,20231.67,3
Bentley,74259.29,42
Bentayga,127600.00,1
Continental,72408.50,40
Mulsanne,94950.00,1
BMW,18138.40,1087
1,8484.49,67
2,17161.34,131
3,13092.07,294
4,21969.48,211
5,15833.85,97
6,17498.05,39
7,23566.46,13
8,63484.00,5
i8,59735.00,2
M2,40991.33,6
M3,19986.23,13
M5,39978.80,5
M6,30578.86,7
X1,17137.26,35
X2,30397.07,15
X3,24546.37,30
X4,35545.93,14
X5,35177.42,33
X6,25680.91,11
X7,75495.50,2
Z3,4454.09,11
Z4,13061.22,46
Chevrolet,10103.25,12
Captiva,3178.33,3
Corvette,17750.00,1
Corvette-C7,72400.00,1
Cruze,3995.00,1
Lacetti,1499.00,1
Matiz,2995.00,1
Orlando,4787.50,2
Spark,2490.00,1
Tacuma,1000.00,1
Chrysler,4063.85,13
300C,3820.00,4
Crossfire,4260.00,3
Grand,5661.67,3
Voyager,2695.00,2
Ypsilon,2395.00,1
Citroen,9164.65,338
Berlingo,10145.63,43
C1,6627.33,18
C3,8029.46,83
C4,10544.66,166
C5,9027.67,3
C8,3495.00,1
Dispatch,9995.00,1
DS3,5716.00,11
Nemo,3295.00,1
Xsara,1681.27,11
Dacia,8673.73,22
Duster,9982.17,12
Logan,8659.67,3
Sandero,6436.71,7
Daihatsu,3148.00,5
Copen,3148.00,5
Daimler,11950.00,1
Double,11950.00,1
Dodge,9670.00,4
Challenger,25995.00,1
Journey,3895.00,2
Nitro,4895.00,1
Ds,10542.40,10
Ds,10542.40,10
Ferrari,255763.42,19
208,79995.00,1
360,51000.00,1
458,139995.00,1
488,198987.50,4
812,266425.00,2
California,96658.33,3
F12,168298.33,3
F355,84995.00,1
FF,134950.00,1
Laferrari,2074950.00,1
Portofino,169950.00,1
Fiat,8104.96,120
124,14663.70,10
500,8095.34,80
500L,7648.50,4
500X,8587.71,7
Barchetta,4995.00,1
Doblo,3999.00,1
Panda,3894.50,4
Punto,3415.00,3
Qubo,3846.00,8
Tipo,11019.00,2
Ford,11700.10,806
B-MAX,7458.67,39
C-Max,7589.64,99
Consul,17750.00,1
EcoSport,13986.80,10
Edge,23023.36,11
Escort,4087.25,4
Fiesta,9082.64,105
Focus,12160.17,122
Galaxy,12096.50,56
Grand,10008.64,45
KA,6530.93,14
Kuga,16031.96,156
Mondeo,8788.68,25
Mustang,31154.00,20
Puma,23347.50,2
Ranger,10990.00,1
S-Max,9748.96,92
Streetka,1495.00,4
Honda,13632.78,138
Accord,3237.50,6
Civic,14001.96,28
CR-V,16528.93,71
CR-Z,6500.00,1
Fr-V,2119.00,4
HR-V,15558.75,4
Jazz,9273.79,19
Odyssey,6495.00,1
Prelude,8992.00,1
S2000,11970.00,2
Stream,3449.00,1
Hyundai,12980.79,200
Coupe,2428.33,3
I10,6373.38,13
I20,7051.22,9
I30,8278.40,5
I40,10798.60,5
I800,15769.00,18
Ioniq,18095.67,6
IX20,7108.42,19
IX35,7326.50,6
Kona,18310.33,6
Matrix,2495.00,2
S,2759.33,3
Santa,17459.71,21
Tucson,15637.28,81
Veloster,6444.67,3
Infiniti,13358.25,8
FX,14550.00,1
Q30,12398.00,1
Q50,11678.00,3
Q70,17485.00,1
QX50,14500.00,1
QX70,12899.00,1
Jaguar,21047.49,306
E-Pace,29869.90,21
E-Type,109997.50,2
F-Pace,31962.31,26
F-Type,40408.65,37
Mark,49995.00,1
S-Type,4707.67,9
X-Type,2066.90,10
XE,18830.67,58
XF,14317.04,96
XJ,15014.96,24
XJS,11737.25,4
XK,16746.40,10
Xk8,13120.83,6
Xkr,16992.00,2
Jeep,16777.13,40
Cherokee,9280.00,6
Compass,17204.70,10
Grand,19073.33,6
Renegade,12288.33,9
Wrangler,24258.11,9
Kia,14166.98,250
Carens,11105.75,20
Ceed,12270.27,22
Magentis,2042.50,2
Niro,17680.50,8
Optima,13653.00,7
Picanto,7035.00,16
Pro,18486.25,4
Rio,8311.13,8
Sedona,3376.67,6
Sorento,22558.76,17
Soul,9461.67,3
Sportage,16059.03,113
Stinger,31261.67,3
Stonic,14428.00,5
Venga,8077.13,15
Xceed,21695.00,1
Lamborghini,198279.56,18
Aventador,291589.00,5
Gallardo,114983.00,3
Huracan,176613.80,10
Land-Rover,31284.03,346
Defender,27425.71,7
Discovery,32684.98,44
Discovery-Sport,26957.25,79
Freelander,8252.61,18
Range,33898.80,153
Range-Rover-Sport,38965.27,44
Series,14999.00,1
Lexus,24301.11,64
CT,11370.00,2
GS,13288.40,5
IS,15337.21,19
LC,74990.00,3
LS,36285.50,2
NX,28970.92,12
RC,26557.00,4
RX,31839.83,12
SC,8236.80,5
Lotus,28222.50,2
Elan,19950.00,1
Elise,36495.00,1
Maserati,39704.88,16
Coupe,9950.00,1
Ghibli,24381.60,5
Grancabrio,116990.00,1
Granturismo,42495.00,3
Levante,47965.00,3
Quattroporte,38350.00,3
Mazda,12661.05,204
2,6931.18,11
3,13545.47,19
5,4516.27,15
6,13852.79,42
626,4988.00,1
Bongo,7496.33,6
CX-3,14184.80,5
CX-5,22103.26,31
CX-7,3642.50,2
MX-5,11025.58,71
RX-8,3495.00,1
Mclaren,176430.00,6
570,87990.00,1
12C,229900.00,1
540C,92995.00,1
600LT,189850.00,1
675LT,229995.00,1
720S,227850.00,1
Mercedes-Benz,21094.24,1256
300,9500.00,1
350,42480.00,1
A,18193.41,49
AMG,90537.67,6
B,10984.72,25
C,21027.79,459
CL,14475.00,5
CLA,19702.63,70
CLC,3931.36,11
CLK,4489.15,20
CLS,17179.03,36
E,21077.33,263
G,64472.50,2
GL,45366.63,8
GLA,19739.05,22
GLC,32551.31,61
GLE,43336.25,16
M,10672.33,6
R,3795.00,1
S,31913.24,25
SL,20377.89,55
SLC,21952.29,28
SLK,9004.41,71
V,36645.38,13
Viano,6492.50,2
Mg,5845.62,13
MG6,4995.00,1
MGB,7995.00,3
MGF,5995.00,1
MGTF,5337.33,6
Midget,5999.00,1
ZS,2995.00,1
Mini,9937.49,207
Clubman,15620.67,9
Convertible,9831.92,92
Countryman,16028.33,9
Coupe,7096.94,18
Hatch,9687.74,58
Paceman,9344.17,12
Roadster,7324.22,9
Mitsubishi,15499.75,51
ASX,13715.14,7
Colt,2261.67,3
Eclipse,17499.00,1
Outlander,18144.37,27
Shogun,13869.15,13
Morgan,48995.00,3
Plus,42995.00,1
Roadster,51995.00,2
Nissan,12610.00,259
100NX,2995.00,1
350Z,5495.00,1
370Z,21422.57,7
Almera,990.00,1
Cube,4750.00,1
Elgrand,7684.41,17
Fairlady,22750.00,1
Figaro,3990.00,1
GT-R,62650.83,6
Juke,9602.00,36
Leaf,22996.50,2
Micra,7495.24,21
Note,4498.64,36
NV200,7890.00,1
Pathfinder,10393.33,3
Pulsar,9245.00,2
Qashqai,13529.59,46
Qashqai+2,7925.00,4
Serena,4999.00,1
Skyline,4495.00,1
X-Trail,16234.14,70
Peugeot,8601.75,266
107,2180.00,3
108,7119.17,24
205,2995.00,1
206,1394.00,4
207,2621.50,28
208,8407.63,16
307,1663.83,6
308,7639.57,35
406,1495.00,1
407,3158.33,3
508,12780.00,11
2008,10360.76,37
3008,16517.21,28
5008,6359.55,11
Expert,9591.00,3
Partner,8136.33,27
RCZ,6777.41,17
Rifter,16890.64,11
Porsche,44193.46,135
718,51345.50,8
911,62636.72,57
924,15995.00,1
928,29995.00,1
944,15997.00,2
Boxster,18490.32,31
Cayenne,47838.57,7
Cayman,32722.65,23
Macan,34495.00,1
Panamera,52972.50,4
Renault,6831.71,197
Captur,10172.38,24
Clio,7538.86,28
Espace,3000.00,2
Grand,9232.21,33
Kadjar,12979.33,12
Kangoo,3765.71,7
Laguna,1992.50,2
Megane,4453.48,42
Scenic,4343.74,43
Wind,3681.67,3
ZOE,8990.00,1
Rolls-Royce,144348.70,10
Ghost,99995.00,1
Phantom,127470.00,2
Silver,164965.00,3
Wraith,148414.25,4
Rover,8092.50,4
25,975.00,1
75,1995.00,1
P2,14700.00,2
Saab,3742.39,28
09/03/2020,3707.42,26
09/05/2020,4197.00,2
Seat,11935.57,144
Alhambra,14090.62,29
Altea,2912.50,8
Arona,16147.50,2
Ateca,17762.60,20
Ibiza,7730.42,38
Leon,13304.41,44
Mii,6699.00,3
Skoda,11951.69,150
Citigo,6795.00,1
Fabia,8937.60,20
Karoq,18957.20,5
Kodiaq,23796.57,14
Octavia,11232.28,43
Rapid,6998.00,1
Roomster,4938.36,14
Scala,17090.00,2
Superb,13038.79,19
Yeti,10910.61,31
Smart,5673.33,42
City-Cabriolet,1995.00,1
Forfour,9759.67,3
Fortwo,5542.00,36
Roadster,3747.00,2
Ssangyong,11709.93,14
Korando,12737.60,5
Kyron,3995.00,1
Rexton,6295.00,1
Rodius,2495.00,1
Tivoli,15495.00,1
Turismo,14394.20,5
Subaru,14138.38,21
Forester,20095.38,8
Impreza,5280.57,7
L,15495.00,1
Outback,8695.00,1
WRX,16499.50,2
XV,20995.00,2
Suzuki,10733.37,81
Alto,3947.00,2
Baleno,9247.00,2
Celerio,5890.00,1
Grand,3872.50,2
Ignis,10995.00,2
Jimny,8060.92,13
Splash,3897.00,2
Swift,7548.44,9
SX4,11706.00,9
Vitara,13372.15,39
Toyota,11751.51,172
Alphard,12198.94,16
Auris,11483.18,11
Avensis,4482.00,7
Aygo,6971.80,20
C-HR,21481.67,6
Camry,13995.00,2
Celica,2360.00,3
Corolla,12852.00,15
Estima,10053.00,9
GT86,20331.00,3
IQ,3190.00,2
Landcruiser,12044.00,5
MR2,2894.80,5
Previa,8147.67,3
Prius,17133.75,4
RAV,17978.50,32
Vellfire,13997.00,2
Verso,9262.67,9
Yaris,8890.00,18
Triumph,22750.00,1
TR4,22750.00,1
TVR,24995.00,1
Chimaera,24995.00,1
Vauxhall,8472.70,581
Adam,6717.33,6
Agila,3515.00,4
Ampera,13499.00,1
Antara,5495.00,1
Astra,8356.20,82
Cascada,8372.33,6
Combo,15141.64,22
Corsa,7700.65,60
Crossland,13552.54,13
Grandland,17810.70,27
GTC,8260.96,24
Insignia,9961.53,43
Meriva,4789.59,61
Mokka,11576.47,38
Omega,3999.00,1
Tigra,1715.37,19
Vectra,1490.00,1
Viva,6597.00,2
Vivaro,20997.50,2
Zafira,7200.38,168
Volkswagen,14889.06,622
Amarok,10990.00,1
Arteon,22246.67,6
Beetle,8439.67,18
Caddy,13948.23,13
California,55927.83,6
Caravelle,30273.22,9
CC,8515.75,16
EOS,4717.05,22
Golf,12244.88,110
Jetta,3186.60,5
Lupo,1350.00,1
Passat,13357.74,77
Polo,9904.56,39
Scirocco,11277.44,66
Sharan,14866.56,27
T-Cross,20389.71,7
T-Roc,23506.60,5
Tiguan,21037.96,102
Touareg,25633.64,39
Touran,12066.86,44
Up,8188.22,9
Volvo,27593.62,371
C30,3487.50,6
Corvette-C70,5154.86,7
S40,1934.00,5
S60,18059.84,25
S80,6245.00,2
S90,23854.78,18
V40,13600.35,17
V50,2517.00,5
V60,21043.31,13
V90,28778.33,43
XC40,31815.03,33
XC60,29163.17,119
XC90,40782.36,72
XCorvette-C70,10953.00,6
Wiesmann,120000.00,1
MF4,120000.00,1
Grand Total,17994.80,9629